"Company","SFR","Payload (kg)","Launch Cost ($M)","Price ($/kg)","Funding ($M)","Launch Class","Orbit Altitude","Tech Type","Country","HQ Location","Description"
"Arianespace/Avio","9","20,000","170.000","8,500","Public","Medium, Heavy","LEO","Rocket","Italy","Colleferro","Developing the Vega & Ariane launch vehicles"
"Black Sky Aerospace","9","350","0.600","1,714","-","Small","Suborbital","Rocket","Australia","Browns Plains, Queensland","Offers a range of sounding rockets, capable of flights up to 300km in multistage configurations"
"Blue Origin","9","45,000","0.000","0","-","Tourism, Small, Heavy","LEO","Rocket","USA","Kent, WA","Lowering the cost of access to space with reusable launch vehicles"
"CNIM Air Space","9","2,700","0.000","0","Public","Small, Medium","Suborbital","Balloon","France","Ayguesvives","Balloons that lift anything from a few kilograms to several tons and are able to operate at an altitude as low as a few hundred metres or as high as 40 km"
"Mitsubishi Heavy Industries","9","19,000","112.500","5,921","Public","Medium","LEO","Rocket","Japan","Tokyo, Tokyo","Launch vehicle manufacturer and launch services provider"
"Northrop Grumman","9","8,000","80.000","10,000","Public","Small, Medium","LEO","Rocket","USA","Falls Church, VA","Designs, manufactures, and operates launch vehicles, propulsion systems, and satellites and related components"
"Rocket Lab","9","300","4.900","16,333","257.31","Small","LEO","Rocket","USA","Huntington Beach, CA","The first rocket company and launch site for cubesat payloads in New Zealand"
"SpaceX","9","63,800","90.000","1,411","5784","Heavy, Super Heavy","LEO","Rocket","USA","Hawthorne, CA","SpaceX designs, manufactures, and launches advanced rockets and spacecraft"
"Swedish Space Corp","9","2,000","0.000","0","-","Small","Suborbital","Balloon, Rocket","Sweden","Solna","SSC designs sounding rocket vehicles, stratospheric balloon systems, and payloads"
"United Launch Alliance","9","17,800","99.000","5,562","Joint Venture","Medium, Heavy","LEO","Rocket","USA","Centennial, CO","A joint venture between Lockheed Martin and Boeing, ULA produces the Vulcan, Atlas and Delta Launch Vehicle Families"
"UP Aerospace","9","36","0.000","0","0.72","Small","Suborbital","Rocket","USA","Highlands Ranch, CO","UP Aerospace is a suborbital space launch and flight test service provider"
"Virgin Orbit/VOX Space","9","500","12.000","24,000","-","Small","LEO","Plane, Rocket","USA","Long Beach, CA","The small payload orbital launch sister company to Virgin Galactic"
"World View","9","4,500","0.000","0","48.68","Small, Medium","Suborbital","Balloon","USA","Tucson, AZ","The Stratollite is a remotely operated, navigable vehicle that can remain aloft for days, weeks, and months on end"
"Astra Space","8","204","2.500","12,255","100.00","Small","LEO","Rocket","USA","Alameda, CA","Providing routine launch access to Earth orbit for entrepreneurs and enterprises"
"iSpace","8","300","5.000","16,667","275.00","Small","LEO","Rocket","China","Beijing","iSpace is a Chinese private space launch company developing the Hyperbola rocket family"
"Sierra Nevada","8","5,000","0.000","0","-","Medium","LEO","Spaceplane","USA","Sparks, NV","Dream Chaser space plane for space station resupply missions"
"Virgin Galactic/The Spaceship Company","8","372","1.500","4,032","Public","Tourism","Suborbital","Spaceplane","USA","Mojave, CA","Building a fleet of WhiteKnightTwo carrier aircraft and SpaceShipTwo reusable spaceships"
"Firefly Aerospace","7","1,000","15.000","15,000","23.16","Small","LEO","Rocket","USA","Cedar Park, TX","Developing the Firefly Alpha launch vehicle; highest payload performance with the lowest cost per kg to orbit in its vehicle class"
"Galactic Energy","7","4,000","0.000","14,400","43.00","Small, Medium","LEO","Rocket","China","-","Developing the Ceres-1 and Pallas-1 launch vehicles"
"Landspace","7","4,000","0.000","0","361.30","Small, Medium","LEO","Rocket","China","Beijing","Commercial launch vehicle manufacturer and space launch provider in China"
"Relativity Space","7","1,250","10.000","8,000","684.54","Small","LEO","Rocket","USA","Los Angeles, CA","Designing an orbital-class launch vehicle that's autonomously constructed"
"Strato","7","0","0.000","0","-","Small","Suborbital","Balloon","Ukraine","Kiev","Launching sratospheric balloons for research and promotional purposes"
"ABL Space Systems","6","1,350","12.000","8,889","49.00","Small","LEO","Rocket","USA","El Segundo, CA","Building rockets to launch small satellites"
"Exos Aerospace","6","100","0.000","0","9.09","Small","Suborbital","Rocket","USA","Caddo Mills, TX","Selling reusable launch vehicles for small, sub-orbital scientific/experimental payloads"
"One Space","6","200","3.200","16,000","116","Small","LEO","Rocket","China","Beijing","Building a private 3-stage nanosatellite launch vehicle in China"
"PLD Space","6","300","0.000","0","27.14","Small","LEO","Rocket","Spain","Elche","A Euro startup developing tech for suborbital & orbital launch services, dedicated to small payloads and nanosatellites"
"Sea Launch/S7","6","6,160","0.000","0","-","Medium","GTO","Rocket","Russia","-","Integrated launch services for the Zenit Launch Vehicle via a mobile sea platform"
"Space Forest","6","50","0.000","4,500","-","Small","Suborbital","Rocket","Poland","Gdynia","Commercializing new suborbital rocket technologies"
"Zero 2 Infinity","6","0","0.000","0","13.83","Tourism","Suborbital","Balloon","Spain","Barcelona","Developing a zero-emission space tourism platform"
"Dawn Aerospace","5","100","0.000","0","4.54","Small","LEO","Spaceplane","Netherlands","Delft","Developing scalable and sustainable space transportation technology to become the backbone of the near space economy"
"Equatorial Space Systems","5","180","4.500","25,000","0.50","Small","LEO","Rocket","Singapore","Singapore","Developing Volanis, a hybrid small-launch vehicle operated from a ocean platform"
"HyImpulse","5","500","7.780","15,560","9.70","Small","LEO","Rocket","Germany","Kochen","Developing an orbital small launcher, powered by a unique, green hybrid propulsion technology"
"Interstellar Technologies","5","100","0.440","4,400","0.35","Small","Suborbital","Rocket","Japan","Hokkaido","Privately developing rocket engines and suborbital launch vehicles in Japan"
"Isar Aerospace Technologies","5","1,200","13.000","10,833","109.99","Small","LEO","Rocket","Germany","Ottobrun","Lowering the entry barriers to space and making space access affordable and sustainable"
"Launcher","5","773","10.000","12,937","-","Small","LEO","Rocket","USA","New York, NY","A team on a 10-year journey to deliver small satellites to orbit."
"LinkSpace","5","200","4.500","22,500","-","Small","LEO","Rocket","China","Beijing","Developing reusable launch vehicle technology for orbital payloads in China"
"Maritime Launch Services","5","5,000","45.000","9,000","-","Medium","LEO","Rocket","Canada","Halifax, Nova Scotia","Building up Canada's NewSpace industry as the first private launch provider in Canso, Nova Scotia."
"Orbex","5","220","0.000","0","39.53","Small","LEO","Rocket","United Kingdom","London, England","Launch services for small, micro and nano satellites"
"PD Aerospace","5","6,000","0.000","0","6.75","Tourism, Medium","Suborbital","Spaceplane","Japan","Nagoya, Aichi","Developing a fully-reusable suborbital spacecraft"
"Perigee Aerospace","5","65","2.000","30,769","13.86","Small","LEO","Rocket","South Korea","Daejeon","Developing Blue Whale 1, a micro launch vehicle"
"Reaction Engines","5","17,000","0.000","860","95.37","Medium","LEO","Spaceplane","United Kingdom","Abingdon, England","Developing the re-usable Skylon spaceplane powered by SABRE propulsion"
"Skyrora","5","500","12.600","25,200","4.85","Small","LEO","Rocket","United Kingdom","Edinburgh, Scotland","Cost effective small satellite launch services from the United Kingdom"
"Space Perspective","5","0","0.000","0","7.00","Tourism","Suborbital","Balloon","USA","-","The off-world travel company"
"Starchaser","5","186","0.000","0","-","Small","Suborbital","Rocket","United Kingdom","Hyde, England","Building a reusable three-person rocket ship for space tourism"
"Sugarhouse Aerospace","5","50","0.250","5,000","-","Small","Suborbital","Rocket","USA","Springville, UT","Sugarhouse Aerospace is built on a simple idea - space shouldn't be reserved for governments and billionaires"
"Zephalto","5","0","0.000","0","-","Tourism","Suborbital","Balloon","France","Le Pouget","Providing passengers with a trip into the stratosphere"
"Aevum","4","100","0.000","0","-","Small","LEO","Plane, Rocket","USA","Huntsville, AL","Provides earth-to-space space delivery services for small payloads"
"bluShift Aerospace","4","30","0.000","0","-","Small","LEO","Rocket","USA","Brunswick, ME","Developing a unique line of rockets powered by bio-derived fuels to launch tiny satellites into space"
"CosmoCourse","4","434","1.500","0","-","Tourism","Suborbital","Rocket","Russia","Moscow","Creating a reusable suborbital space complex for tourist flights into space"
"Earth to Sky","4","600","4.500","7,500","5.25","Small","LEO","Rocket","USA","Huntsville, AL","Providing launch services to LEO at an affordable cost"
"Gilmour Space","4","400","0.000","25,000","17.62","Small","LEO","Rocket","Australia","Pimpama, Queensland","Developing the ERIS launch vehicles to provide reliable and cost-effective access to space"
"Green Launch","4","5","0.000","0","0.50","Small","LEO","Other","USA","Edmond, OK","Green Launch is a technology created to revolutionize and expand our access to space"
"Microcosm","4","160","4.200","26,250","-","Small","LEO","Rocket","USA","Torrance, CA","Developing the Demi-Sprite Launch System"
"OrbitX","4","200","4.800","24,000","0.05","Small","LEO","Rocket","Philippines","Quezon City","Using clean tech to develop a sustainable and cheap rocket called Haribon SLS"
"Pipeline2Space (by HyperSciences)","4","10","1.000","100,000","-","Small","LEO","Other","USA","Spokane, WA","Using RAM-accelerators to change the economics of space launch"
"Pythom","4","100","1.200","12,000","0.75","Small","LEO","Rocket","USA","Bishop, CA","Pythom is creating a custom-built, two-person craft to explore Mars"
"Rocket Crafters","4","500","9.000","18,000","2.00","Small","LEO","Rocket","USA","Cocoa, FL","Developing the STAR3D (Safe, Throttleable, Affordable, Reliable, 3D-Printed) Hybrid Rocket Engines and the Intrepid-1 smallsat launcher"
"Rocket Factory Augsburg (by OHB)","4","1,100","0.000","0","-","","LEO","Rocket","Germany","Augsburg","Offering hassle-free space transportation to dedicated orbits"
"Skyroot Aerospace","4","720","0.000","0","1.50","Small","LEO","Rocket","India","Hyderabad, Telangana","Building technologies for responsive, reliable and economic access to space"
"Space Darts","4","100","0.100","1,000","15.00","Small","LEO","Rocket","Russia","Moscow","Mass production of on-demand launchers for small sats"
"Space Engine Systems","4","5,500","0.000","0","22.00","Medium","Lunar","Spaceplane","Canada","Edmonton, Alberta","Designing a reusable, single-stage-to-orbit cruise vehicle"
"Space Transportation (Lingkong Tianxing)","4","1,000","0.000","0","18.00","Small","LEO","Rocket, Spaceplane","China","Beijing","Launcher manufacturer aimed at developing reusable vehicles for small payloads"
"Space Vector","4","0","0.000","0","-","Small","LEO","Rocket","USA","Chatsworth, CA","Space Vector has launched 37 vehicles to date with program turnaround times as short as 8 months"
"Space Walker","4","100","0.000","0","4.98","Small","Suborbital","Spaceplane","Japan","Minato, Tokyo","Developing a sub-orbital spaceplane for scientific missions"
"SpinLaunch","4","100","0.500","5,000","77.94","Small","LEO","Other","USA","Long Beach, CA","Small satellite space launch via a kinetic launch system"
"Stofiel Aerospace","4","250","5.000","20,000","-","Small","LEO","Balloon, Rocket","USA","St. Louis, MO","Balloon-based small satellite launcher"
"Stratolaunch","4","0","0.000","0","-","-","LEO","Spaceplane","USA","Seattle, WA","Developing Black Ice, a fully reusable space plane initially optimized for cargo launch"
"TLON Space","4","25","0.000","0","-","Small","LEO","Rocket","Argentina","Buenos Aires","Developng a revolutionarily light small launch vehicle"
"VSAT Aerospace","4","100","3.000","30,000","-","Small","LEO","Rocket","Brazil","Santo André, São Paulo","Delivering payloads to low Earth orbit"
"WAGNER Star Industries","4","1,500","3.000","2,000","-","Small","LEO","Spaceplane","USA","St Petersburg, FL","WAGNER is a simple, reliable, low-cost launch systems company"
"X-Bow Launch Systems","4","0","0.000","0","-","Small","LEO","Rocket","USA","Huntsville, AL","Dedicated to providing affordable access to orbit for commercial and government payloads"
"0-G Launch","3","0","0.000","25,000","-","Small","LEO","Plane, Rocket","USA","Washington, D.C.","Developing the Space Jet air-launch platform"
"Acrux Aerospace Technologies","3","25","1.000","40,000","0.05","Small","LEO","Rocket","Brazil","Iguassu Falls, Paraná","Designing the Montenegro nanolauncher for launches at a very competitive price"
"Advanced Rockets Corp","3","25,000","4.100","164","0.07","Heavy","LEO","Rocket","USA","Los Angeles, CA","The Dynamics Enhanced Launch Vehicle is designed for a life of over 400 reuses with very minimal maintenance and rapid turnarounds"
"ARCA Space Corporation","3","100","1.000","10,000","-","Small","LEO","Rocket","USA","Las Cruces, NM","Single Stage to Orbit (SSTO) rocket leveraging aerospike engine technology launching to low earth orbit"
"Bagaveev","3","10","0.250","25,000","0.96","Small","LEO","Rocket","USA","Half Moon Bay, CA","Dedicated nanosatellite launch provider"
"Bellatrix Aerospace","3","150","2.000","13,333","3.00","Small","LEO","Rocket","India","Bangalore, Karnataka","Orbital launch vehicles (rockets) and electric propulsion systems"
"Beyond Earth","3","30","0.900","30,000","-","Small","LEO","Rocket","USA","Menlo Park, CA","Providing rapid response small satellite launch vehicles for government and commercial customers"
"C6 Launch Systems","3","30","0.000","0","-","Small","LEO","Rocket","Canada","Toronto, Ontario","Provding dedicated launch services for cube and nanosatellites"
"Deep Blue Aerospace","3","4,500","0.000","0","3.00","Small, Medium","LEO","Rocket","China","Beijing","Committed to reducing the cost of entering space via reusable launch products"
